Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,Product_ID,Product_Name,Category,Quantity_Sold,Unit_Price,Sales,Cost,Profit,Inventory_Level,Reorder_Point,Supplier,Discount
1001,2024-06-24,C692,Brian Hubbard,South,Karnataka,P006,Headphones,Accessories,8,53023,424184,322606.54,101577.46,219,69,Sony,0
1002,2024-03-11,C362,Heidi Johnson DDS,West,Gujarat,P004,Monitor,Electronics,5,19356,96780,80728.91,16051.09,440,94,Samsung,20
1003,2024-12-02,C593,Devon Martin,North,Delhi,P006,Headphones,Accessories,2,22620,45240,39220.04,6019.96,304,94,Sony,5
1004,2024-01-05,C170,Julie Mahoney,South,Karnataka,P002,Keyboard,Accessories,1,22863,22863,16487.15,6375.85,147,53,Logitech,10
1005,2024-06-24,C816,Amy Navarro,East,West Bengal,P002,Keyboard,Accessories,8,10510,84080,62697.06,21382.94,486,59,Logitech,5
1006,2024-10-20,C340,Alexandra Adams DDS,North,Delhi,P009,SSD,Storage,3,53874,161622,101896.25,59725.75,105,42,Kingston,20
1007,2024-09-27,C834,Kevin Goodwin,West,Gujarat,P001,Laptop,Electronics,1,27807,27807,20956.18,6850.82,348,48,Dell,15
1008,2024-08-15,C218,Marilyn Harris,North,Delhi,P007,Tablet,Electronics,4,20411,81644,54813.31,26830.69,436,59,Lenovo,10
1009,2024-02-22,C924,Jane Savage,North,Delhi,P001,Laptop,Electronics,6,2254,13524,11036.82,2487.18,401,75,Dell,5
1010,2024-01-13,C133,Dr. James Hawkins,North,Delhi,P010,Webcam,Accessories,4,25030,100120,77670.89,22449.11,261,57,Logitech,15
1011,2024-01-25,C561,Christina Snyder,North,Delhi,P004,Monitor,Electronics,7,12200,85400,59271.51,26128.49,208,39,Samsung,5
1012,2024-04-11,C178,Renee Murray,South,Karnataka,P006,Headphones,Accessories,9,37150,334350,261201.73,73148.27,108,15,Sony,10
1013,2024-12-19,C239,Sabrina Gould,East,West Bengal,P008,Router,Networking,10,17166,171660,131538.94,40121.06,92,73,TP-Link,20
1014,2024-11-27,C284,Joseph Dorsey,North,Delhi,P003,Mouse,Accessories,10,28455,284550,218227.92,66322.08,77,87,Logitech,10
1015,2024-03-20,C314,Jesse Parks,North,Delhi,P010,Webcam,Accessories,5,37446,187230,130888.15,56341.85,57,46,Logitech,0
1016,2024-12-28,C211,Brett Rodriguez,East,West Bengal,P007,Tablet,Electronics,3,28286,84858,75598.92,9259.08,23,75,Lenovo,0
1017,2024-10-24,C329,Gregory Rollins,West,Gujarat,P007,Tablet,Electronics,6,21586,129516,105561.16,23954.84,323,93,Lenovo,0
1018,2024-01-10,C146,David Duran,North,Delhi,P010,Webcam,Accessories,8,22955,183640,136340.89,47299.11,206,92,Logitech,10
1019,2024-12-26,C969,Kristy Anderson,North,Delhi,P001,Laptop,Electronics,4,38197,152788,98353.61,54434.39,69,19,Dell,5
1020,2024-10-09,C495,Bruce Henderson,West,Gujarat,P010,Webcam,Accessories,1,33414,33414,26047.75,7366.25,381,65,Logitech,5
1021,2024-04-05,C320,Kevin George,South,Karnataka,P005,Printer,Electronics,6,15807,94842,83396.65,11445.35,201,89,HP,20
1022,2024-03-06,C939,Rachel Schaefer,East,West Bengal,P007,Tablet,Electronics,1,20149,20149,15252.11,4896.89,202,54,Lenovo,20
1023,2024-02-01,C249,Francisco Hamilton,North,Delhi,P007,Tablet,Electronics,7,57952,405664,308744.08,96919.92,405,62,Lenovo,5
1024,2024-08-26,C635,Kelly Glover,West,Gujarat,P004,Monitor,Electronics,2,36100,72200,62791.53,9408.47,480,92,Samsung,15
1025,2024-12-23,C992,Christopher Nunez,South,Karnataka,P009,SSD,Storage,9,45672,411048,261330.22,149717.78,109,79,Kingston,5
1026,2024-12-07,C630,Patricia Taylor,North,Delhi,P001,Laptop,Electronics,6,11954,71724,47061.49,24662.51,477,39,Dell,5
1027,2024-02-19,C429,Walter Nelson,West,Gujarat,P010,Webcam,Accessories,3,52715,158145,99420.62,58724.38,97,96,Logitech,10
1028,2024-11-30,C441,Stephanie Garcia,West,Gujarat,P007,Tablet,Electronics,2,939,1878,1667.72,210.28,371,63,Lenovo,20
1029,2024-01-04,C137,Calvin Swanson,West,Gujarat,P004,Monitor,Electronics,7,4973,34811,26545.51,8265.49,34,80,Samsung,0
1030,2024-06-24,C846,Carrie English,North,Delhi,P009,SSD,Storage,8,24773,198184,164093.43,34090.57,143,29,Kingston,20
1031,2024-01-31,C793,Tracy Barajas,West,Gujarat,P007,Tablet,Electronics,7,49678,347746,229182.65,118563.35,481,79,Lenovo,10
1032,2024-04-20,C170,Maria Harris,East,West Bengal,P006,Headphones,Accessories,5,27440,137200,114837.34,22362.66,437,11,Sony,0
1033,2024-10-27,C423,Michelle Molina,South,Karnataka,P004,Monitor,Electronics,10,54236,542360,355818.21,186541.79,467,61,Samsung,15
1034,2024-07-03,C827,Maria Kennedy,North,Delhi,P002,Keyboard,Accessories,8,12853,102824,82754.64,20069.36,58,47,Logitech,0
1035,2024-04-14,C353,Kayla Jones,North,Delhi,P008,Router,Networking,2,41347,82694,53531.54,29162.46,70,61,TP-Link,10
1036,2024-09-19,C145,Heather Morris,North,Delhi,P004,Monitor,Electronics,2,26247,52494,42904.68,9589.32,109,19,Samsung,15
1037,2024-05-30,C708,Christina Glenn DVM,East,West Bengal,P010,Webcam,Accessories,3,38508,115524,95224.18,20299.82,72,36,Logitech,10
1038,2024-04-10,C602,Robert Lee,East,West Bengal,P007,Tablet,Electronics,8,23192,185536,150932.95,34603.05,73,54,Lenovo,20
1039,2024-10-02,C213,Judy Murphy,East,West Bengal,P006,Headphones,Accessories,5,40621,203105,181749.11,21355.89,103,63,Sony,0
1040,2024-09-18,C894,David Ortiz,West,Gujarat,P002,Keyboard,Accessories,3,36493,109479,72356.57,37122.43,488,27,Logitech,20
